Iter,Energy
1,-2.635423459436451
2,-2.6301735519808473
3,-2.6363743181958617
4,-2.676193129121
5,-2.6391373156726887
6,-2.596843891979572
7,-2.6314176764634345
8,-2.6606133764681172
9,-2.6619786958476452
10,-2.6944910103780364
11,-2.594717805497755
12,-2.620259468995586
13,-2.630367321801191
14,-2.596495842823788
15,-2.668724764049977
16,-2.6259645819912145
17,-2.6351134477724782
18,-2.742524654893126
19,-2.6384831581842234
20,-2.6550352122947825
21,-2.6910846493245413
22,-2.6359277137359958
23,-2.6076514671017867
24,-2.660947760825163
25,-2.6721186022036454
26,-2.6281247941595036
27,-2.6508865647051656
28,-2.691372651946546
29,-2.6656913503570565
30,-2.658666755571025
31,-2.672489576098187
32,-2.651782178304395
33,-2.701069779897229
34,-2.680687531172989
35,-2.6511707462620286
36,-2.632218694537433
37,-2.6556823889442556
38,-2.683672940494361
39,-2.679884261444913
40,-2.6354603358954316
41,-2.6809614340149612
42,-2.647547222174269
43,-2.5945525863934793
44,-2.6613240083940233
45,-2.664061364710154
46,-2.647993960388321
47,-2.6318080880626
48,-2.693050996934517
49,-2.655790545965992
50,-2.659861063418597
51,-2.635820059644997
52,-2.667325027000804
53,-2.648313222120278
54,-2.7049941119382708
55,-2.6570649920144787
56,-2.621307047681989
57,-2.638336452703521
58,-2.673289860878837
59,-2.621195150746275
60,-2.6909323004584516
61,-2.6589446856839736
62,-2.627628327968553
63,-2.677302802368589
64,-2.6318173767000594
65,-2.6272734302069725
66,-2.6207778056471467
67,-2.6276069480172546
68,-2.6124863410150216
69,-2.641540020260635
70,-2.6326377738820854
71,-2.6779217917719387
72,-2.715396266993856
73,-2.6675297640912143
74,-2.619144083161719
75,-2.6350259245985073
76,-2.6484556375361543
77,-2.6340666908455463
78,-2.611134017561788
79,-2.6320293772923185
80,-2.643716941867608
81,-2.668853027693103
82,-2.6437475027552773
83,-2.650462175451975
84,-2.688822948292301
85,-2.639079279952987
86,-2.657671165652259
87,-2.705994387936541
88,-2.633059022352759
89,-2.6908090321046214
90,-2.6471199656941087
91,-2.6365380434393146
92,-2.6614651618268805
93,-2.6467441812594226
94,-2.6383243267604235
95,-2.6687676126641993
96,-2.599961711851007
97,-2.6703908200803843
98,-2.6223627162779173
99,-2.6736896446199103
100,-2.5772465916320155
101,-2.6616762892015724
102,-2.629869974216416
103,-2.6883649759918815
104,-2.6420585991597507
105,-2.6651275863757906
106,-2.6894854497417255
107,-2.667330009340347
108,-2.644161404936506
109,-2.638282904226369
110,-2.6614388656284342
111,-2.5945616549646013
112,-2.6765223161440757
113,-2.6014576623536834
114,-2.6298072474575873
115,-2.6616292879436623
116,-2.646724343730958
117,-2.6642293353100333
118,-2.6226652950982907
119,-2.6019558501242552
120,-2.665388655217697
121,-2.6447304863558214
122,-2.674589838919448
123,-2.654921347897787
124,-2.6162525618362857
125,-2.6445967594510718
126,-2.6277239381585993
127,-2.660557318734496
128,-2.649838008376962
129,-2.5727971565133467
130,-2.6458186433380777
131,-2.6533261659918344
132,-2.6562963279981955
133,-2.664134196182303
134,-2.6505146498239784
135,-2.589101254334298
136,-2.6606798827301152
137,-2.6249865641370165
138,-2.6453910860456573
139,-2.671159922844512
140,-2.662562227109724
141,-2.6591682777395302
142,-2.625238631957199
143,-2.6776810377281515
144,-2.6446234847503938
145,-2.630630084383654
146,-2.652406928282564
147,-2.646430364849675
148,-2.6429388823173032
149,-2.7274011908991884
150,-2.6184666266180914
151,-2.6864150964781897
152,-2.6307729654252485
153,-2.6182024221886246
154,-2.7160507477536835
155,-2.6356549747479243
156,-2.6744338667182284
157,-2.6566327588857455
158,-2.642054722192981
159,-2.645823976886307
160,-2.645696393817104
161,-2.6665497744384234
162,-2.622399226212188
163,-2.6339860194670606
164,-2.628977777466002
165,-2.64698559358703
166,-2.6792733643617423
167,-2.7124613478323343
168,-2.6682722894351762
169,-2.627872430175077
170,-2.6673173840656403
171,-2.722811957827569
172,-2.5776522908152493
173,-2.669985365954798
174,-2.6507642028254574
175,-2.660496467606872
176,-2.6292726722458855
177,-2.645843798043906
178,-2.6732077819406035
179,-2.638905289068612
180,-2.6286744265779896
181,-2.6527757953958293
182,-2.6532661614081072
183,-2.6781719745237274
184,-2.656676667302708
185,-2.6615763822629375
186,-2.6192897997601374
187,-2.651701410427968
188,-2.6447220359790795
189,-2.642213279968206
190,-2.654156947669813
191,-2.671770949800966
192,-2.648919366286855
193,-2.656285106079873
194,-2.6855197215389373
195,-2.6631882619411593
